<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230825;000000;258.8000000;261.6000000;257.6100000;260.5000000;28518670
SBER;D;230828;000000;261.2500000;267.8300000;260.8100000;266.9300000;57849930
SBER;D;230829;000000;266.6200000;267.5600000;265.1400000;265.6800000;35291820
SBER;D;230830;000000;265.7300000;267.3600000;263.1000000;264.7000000;38578950
SBER;D;230831;000000;265.0500000;266.2500000;264.3000000;264.8500000;22557030
SBER;D;230901;000000;265.4000000;265.6200000;264.0600000;265.0000000;19248500
SBER;D;230904;000000;266.5000000;269.1100000;266.0000000;267.3900000;47933710
SBER;D;230905;000000;266.9700000;267.9800000;261.0900000;264.7500000;39642920
SBER;D;230906;000000;264.3300000;264.6800000;262.3100000;263.5000000;28244090
SBER;D;230907;000000;263.5200000;264.9700000;256.1000000;258.7900000;67608570
SBER;D;230908;000000;258.4500000;259.3300000;253.1000000;255.6800000;49455340
SBER;D;230911;000000;257.0000000;258.3700000;255.1600000;256.2500000;43042300
SBER;D;230912;000000;257.6900000;262.4000000;257.0900000;262.4000000;45008650
SBER;D;230913;000000;262.3800000;262.7700000;257.5900000;258.1800000;29971320
SBER;D;230914;000000;258.8500000;261.3800000;255.0200000;260.0000000;46153720
SBER;D;230915;000000;259.8000000;262.7400000;258.5600000;260.8300000;35455920
SBER;D;230918;000000;262.0600000;263.0000000;258.7600000;259.0700000;28891500
SBER;D;230919;000000;258.9300000;259.3200000;251.5000000;252.7200000;89480280
SBER;D;230920;000000;252.8100000;255.4700000;249.8200000;253.7700000;66610520
SBER;D;230921;000000;252.9400000;254.2000000;249.8100000;250.1600000;58854870
SBER;D;230922;000000;249.8500000;253.1000000;248.6200000;251.9900000;40406630
SBER;D;230925;000000;252.1100000;253.4900000;249.8300000;252.6500000;31834270
SBER;D;230926;000000;252.2000000;257.1700000;250.9000000;255.8700000;42923170
SBER;D;230927;000000;256.2600000;257.8500000;254.6300000;256.1000000;27795730
SBER;D;230928;000000;256.2200000;258.2500000;255.5000000;257.6700000;26289900
SBER;D;230929;000000;257.9900000;262.5900000;256.7100000;260.7200000;68503050
SBER;D;231002;000000;261.3800000;261.9200000;257.0300000;258.9800000;35447350
SBER;D;231003;000000;258.9900000;260.5000000;257.2300000;259.6500000;23815150
SBER;D;231004;000000;259.0000000;260.3900000;258.2400000;259.5300000;18510890
SBER;D;231005;000000;260.7100000;261.3900000;258.2600000;259.3800000;23254560
SBER;D;231006;000000;259.7700000;263.4000000;257.8600000;262.9300000;31980230
SBER;D;231009;000000;263.0200000;265.9700000;263.0000000;265.2500000;45189600
SBER;D;231010;000000;264.9000000;265.1800000;257.0000000;263.0000000;33744090
SBER;D;231011;000000;263.1800000;263.9900000;259.5000000;260.2100000;29440350
SBER;D;231012;000000;260.0300000;264.5000000;259.6600000;264.5000000;27421510
SBER;D;231013;000000;264.7500000;265.0400000;262.7000000;263.5100000;18351530
SBER;D;231016;000000;263.9900000;269.2000000;263.5100000;268.1500000;53677710
SBER;D;231017;000000;268.2500000;271.9700000;266.9100000;270.0000000;51107660
SBER;D;231018;000000;270.0000000;271.1900000;266.1100000;267.9000000;40249640
SBER;D;231019;000000;267.1400000;271.0000000;266.2800000;268.6500000;33466930
SBER;D;231020;000000;268.5000000;270.3000000;266.5000000;269.8000000;32851790
SBER;D;231023;000000;270.4700000;274.1000000;269.6500000;270.1000000;62301840
SBER;D;231024;000000;270.0300000;272.0600000;268.6200000;271.2700000;27975250
SBER;D;231025;000000;271.5000000;274.9600000;270.5300000;273.7300000;41764060
SBER;D;231026;000000;274.1000000;276.0000000;269.1200000;269.9000000;59466100
SBER;D;231027;000000;270.0000000;271.9800000;266.8000000;269.7000000;49735190
SBER;D;231030;000000;269.9000000;271.5500000;268.6000000;269.8900000;33261680
SBER;D;231031;000000;269.9100000;270.5000000;266.8700000;268.3500000;26117980
SBER;D;231101;000000;268.2900000;270.3000000;267.6000000;269.6800000;20587810
SBER;D;231102;000000;270.0100000;270.9800000;268.5000000;269.0600000;25499750
SBER;D;231103;000000;269.0700000;269.7800000;267.2000000;268.5400000;20968810
SBER;D;231106;000000;269.0000000;273.8700000;268.6200000;273.4200000;29231770
SBER;D;231107;000000;273.0800000;274.7800000;272.2000000;273.3100000;32183320
SBER;D;231108;000000;273.5300000;278.3500000;273.2800000;278.1500000;58000060
SBER;D;231109;000000;278.6000000;278.8500000;276.0200000;276.6500000;28258660
SBER;D;231110;000000;276.9900000;281.3000000;276.6000000;280.1900000;44600220
