Date,Title,URL
25 октября 2023,Газпром. Цены на газ не дают повода для оптимизма,https://bcs-express.ru/tehanaliz/gazp/25.10.23
24 октября 2023,Газпром оптимизирует инвестпрограмму. Акции отреагировали ростом,https://bcs-express.ru/novosti-i-analitika/gazprom-optimiziruet-investprogrammu-na-2023-aktsii-otreagirovali-rostom
24 октября 2023,Газпром. Поддержка 170 не вечная,https://bcs-express.ru/tehanaliz/gazp/24.10.23
23 октября 2023,Газпром. Нужны драйверы для роста,https://bcs-express.ru/tehanaliz/gazp/23.10.23
20 октября 2023,Газпром. Покупателям интересны текущие цены,https://bcs-express.ru/tehanaliz/gazp/20.10.23
19 октября 2023,Газпром. Продолжение роста откладывается,https://bcs-express.ru/tehanaliz/gazp/19.10.23
18 октября 2023,Газпром. Уровень 173 сдерживает котировки,https://bcs-express.ru/tehanaliz/gazp/18.10.23
17 октября 2023,Газпром. Акции разгоняются на высоких оборотах,https://bcs-express.ru/tehanaliz/gazp/17.10.23
16 октября 2023,Газпром. Цены на газ поддерживают котировки,https://bcs-express.ru/tehanaliz/gazp/16.10.23
13 октября 2023,Газпром. Вторая попытка преодолеть 170 руб.,https://bcs-express.ru/tehanaliz/gazp/13.10.23
12 октября 2023,Газпром. Поддержка 165 вновь может быть протестирована,https://bcs-express.ru/tehanaliz/gazp/12.10.23
11 октября 2023,Газпром. Формируется разворотная фигура,https://bcs-express.ru/tehanaliz/gazp/11.10.23
10 октября 2023,Газпром. Рост цен на газ может поддержать акции,https://bcs-express.ru/tehanaliz/gazp/10.10.23
9 октября 2023,Газпром. Есть повод для роста,https://bcs-express.ru/tehanaliz/gazp/09.10.23
6 октября 2023,В Австралии вновь забастовки. Газ растет на 5%,https://bcs-express.ru/novosti-i-analitika/v-avstralii-vnov-zabastovki-gaz-rastet-na-5
6 октября 2023,"Газпром. Пружина сжалась, куда дальше",https://bcs-express.ru/tehanaliz/gazp/06.10.23
5 октября 2023,Газпром. Давление на поддержку 165 возрастает,https://bcs-express.ru/tehanaliz/gazp/05.10.23
4 октября 2023,Газпром. Есть надежда на продолжение отскока,https://bcs-express.ru/tehanaliz/gazp/04.10.23
3 октября 2023,Газпром. Хуже рынка,https://bcs-express.ru/tehanaliz/gazp/03.10.23
2 октября 2023,Газпром. Очередной неудавшийся отскок,https://bcs-express.ru/tehanaliz/gazp/02.10.23
29 сентября 2023,Газпром. Долгожданный отскок,https://bcs-express.ru/tehanaliz/gazp/29.09.23
28 сентября 2023,Газпром. Отскок не выходит,https://bcs-express.ru/tehanaliz/gazp/28.09.23
27 сентября 2023,Газпром. Покупатели активны ниже 165,https://bcs-express.ru/tehanaliz/gazp/27.09.23
