Date,Time,Title,URL,Type,Ticker
2024-03-18,15:18,5 идей в российских акциях. Фактор риска ушел,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-faktor-riska-ushel,Российский рынок,SBER
2024-03-18,12:10,Ключевые события недели: карусель заседаний мировых ЦБ,https://bcs-express.ru/novosti-i-analitika/kliuchevye-sobytiia-nedeli-karusel-zasedanii-mirovykh-tsb,Российский рынок,SBER
2024-03-18,08:38,"Сбербанк. Пока в нисходящем канале, но пессимизма стало меньше",https://bcs-express.ru/tehanaliz/sber/18.03.24,Теханализ,SBER
2024-03-16,17:08,Топ-5 российских акций под дивиденды: успейте купить в марте!,https://bcs-express.ru/novosti-i-analitika/top-5-rossiiskikh-aktsii-pod-dividendy-uspeite-kupit-v-marte,Новости,SBER
2024-03-15,10:53,Успеть заработать на дивидендах. 5 главных имен летнего сезона,https://bcs-express.ru/novosti-i-analitika/uspet-zarabotat-na-dividendakh-5-glavnykh-imen-letnego-sezona,Российский рынок,SBER
2024-03-15,08:30,Сбербанк. Реализуется потенциал разворотной фигуры,https://bcs-express.ru/tehanaliz/sber/15.03.24,Теханализ,SBER
2024-03-14,08:14,Сбербанк. Фигура «Голова-плечи» усугубляет ситуацию,https://bcs-express.ru/tehanaliz/sber/14.03.24,Теханализ,SBER
2024-03-13,17:21,"Среднесрочный лонг корзины из трех голубых фишек: Сбербанк, ЛУКОЙЛ, Яндекс",https://bcs-express.ru/novosti-i-analitika/srednesrochnyi-long-korziny-iz-trekh-golubykh-fishek-sberbank-lukoil-iandeks,Торговые рекомендации*,SBER
2024-03-13,07:33,Дивиденды возвращаются. Какие акции покупать сейчас,https://bcs-express.ru/novosti-i-analitika/dividendy-vozvrashchaiutsia-kakie-aktsii-pokupat-seichas,Среднесрочные тренды,SBER
2024-03-12,17:02,Сбер и ВТБ против Мосбиржи. Доходность — до 15% к началу мая,https://bcs-express.ru/novosti-i-analitika/sber-i-vtb-protiv-mosbirzhi-dokhodnost-do-15-k-nachalu-maia,Торговые рекомендации*,SBER
2024-03-12,14:56,Портфели БКС. Фавориты продолжают обгонять индекс МосБиржи,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-favority-prodolzhaiut-obgoniat-indeks-mosbirzhi,Российский рынок,SBER
2024-03-12,10:04,Сбербанк отчитался за февраль. Лучшая прибыль за последние 3 месяца,https://bcs-express.ru/novosti-i-analitika/sberbank-otchitalsia-za-fevral,Российский рынок,SBER
2024-03-12,08:32,Сбербанк. Отступили от уровней сопротивления,https://bcs-express.ru/tehanaliz/sber/12.03.24,Теханализ,SBER
2024-03-11,15:46,5 идей в российских акциях. Выделяем перспективные бумаги,https://bcs-express.ru/novosti-i-analitika/2024430117-5-idei-v-rossiiskikh-aktsiiakh-vydeliaem-perspektivnye-bumagi,Российский рынок,SBER
2024-03-11,11:59,"Ключевые события недели: отчетность российских компаний, ВВП G20 и отчет ОПЕК",https://bcs-express.ru/novosti-i-analitika/kliuchevye-sobytiia-nedeli-otchetnost-rossiiskikh-kompanii-vvp-g20-i-otchet-opek,Российский рынок,SBER
2024-03-11,10:00,Сбербанк. Закрыли неделю выше 300,https://bcs-express.ru/tehanaliz/sber/11.03.24,Теханализ,SBER
2024-03-11,08:34,"Прогнозы и комментарии. Про акции, ОФЗ, рубль и сырье",https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-pro-aktsii-ofz-rubl-i-syr-e,Российский рынок,SBER
2024-03-09,16:15,Российские акции растут! Во что инвестировать сейчас?,https://bcs-express.ru/novosti-i-analitika/rossiiskie-aktsii-rastut-vo-chto-investirovat-seichas,Новости,SBER
2024-03-07,13:20,Главное за неделю. Весенние ценники,https://bcs-express.ru/novosti-i-analitika/glavnoe-za-nedeliu-vesennie-tsenniki,Среднесрочные тренды,SBER
2024-03-07,09:36,Сбербанк. Активность спала,https://bcs-express.ru/tehanaliz/sber/07.03.24,Теханализ,SBER
2024-03-07,08:19,Прогнозы и комментарии. Что мешает ускорению роста?,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-chto-meshaet-uskoreniiu-rosta,Российский рынок,SBER
2024-03-06,09:54,Сбербанк. Выше 300 продавцы усиливают активность,https://bcs-express.ru/tehanaliz/sber/06.03.24,Теханализ,SBER
2024-03-05,17:54,Какие акции будут двигать рынок к новым высотам,https://bcs-express.ru/novosti-i-analitika/kakie-aktsii-budut-dvigat-rynok-k-novym-vysotam,Российский рынок,SBER
2024-03-05,17:18,Портфели БКС. Корзина фаворитов выросла на 14% за три месяца,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-korzina-favoritov-vyrosla-na-14-za-tri-mesiatsa,Российский рынок,SBER
2024-03-05,16:09,5 идей в российских акциях. Ставка на золото,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-stavka-na-zoloto,Российский рынок,SBER
2024-03-05,15:11,Ход торгов. Индекс МосБиржи поднялся выше 3300,https://bcs-express.ru/novosti-i-analitika/khod-torgov-indeks-mosbirzhi-vozvrashchaetsia-k-3300,Российский рынок,SBER
2024-03-05,10:27,Акции Сбербанка достигли 300,https://bcs-express.ru/novosti-i-analitika/aktsii-sberbanka-dostigli-300,Российский рынок,SBER
2024-03-05,09:46,Сбербанк. Пора брать круглую отметку,https://bcs-express.ru/tehanaliz/sber/05.03.24,Теханализ,SBER
2024-03-05,08:05,Прогнозы и комментарии. Заветные 3300 покорились,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-zavetnye-3300-pokorilis,Российский рынок,SBER
2024-03-04,12:41,Подтверждаем идею в Сбере. Сильная история качества с дивидендным потенциалом,https://bcs-express.ru/novosti-i-analitika/ideia-v-aktsiiakh-sbera-rekordnye-rezul-taty-za-2023,Торговые рекомендации*,SBER
2024-03-04,11:34,Индекс МосБиржи обновил двухлетние максимумы,https://bcs-express.ru/novosti-i-analitika/indeks-mosbirzhi-obnovil-dvukhletnie-maksimumy,Российский рынок,SBER
2024-03-04,09:52,Сбербанк. Меньше 2% до 300,https://bcs-express.ru/tehanaliz/sber/04.03.24,Теханализ,SBER
2024-03-04,08:13,Прогнозы и комментарии. Рынок акций в шаге от двухлетних максимумов,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-rynok-aktsii-v-shage-ot-dvukhletnikh-maksimumov,Российский рынок,SBER
2024-03-02,16:55,Российские акции: кто заплатит дивиденды? Топ-3 акции под дивиденды,https://bcs-express.ru/novosti-i-analitika/rossiiskie-aktsii-kto-zaplatit-dividendy-top-3-aktsii-pod-dividendy,Новости,SBER
2024-03-01,21:12,Как поведет себя российский рынок акций в марте,https://bcs-express.ru/novosti-i-analitika/kak-povedet-sebia-rossiiskii-rynok-aktsii-v-marte,Российский рынок,SBER
2024-03-01,09:43,"Сбербанк. Покупатели сохраняют инициативу, но активность невысокая",https://bcs-express.ru/tehanaliz/sber/01.03.24,Теханализ,SBER
2024-02-29,16:58,«Дивидендные аристократы»: ищем аналоги на Мосбирже,https://bcs-express.ru/novosti-i-analitika/na-mosbirzhe-dividendnykh-aristokratov-net-posmotrim-na-analogi,Мнения,SBER
2024-02-29,13:42,Подтверждение парной идеи: Сбер против Газпрома,https://bcs-express.ru/novosti-i-analitika/podtverzhdenie-parnoi-idei-sber-protiv-gazproma,Торговые рекомендации*,SBER
2024-02-29,09:57,Сбербанк. Сдержанная динамика на отчете,https://bcs-express.ru/tehanaliz/sber/29.02.24,Теханализ,SBER
2024-02-29,08:33,Дивидендный монитор: от каких компаний ждать выплат,https://bcs-express.ru/novosti-i-analitika/2024502623-dividendnyi-monitor-ot-kakikh-kompanii-zhdat-vyplat,Среднесрочные тренды,SBER
2024-02-28,14:57,Куда реинвестировать дивиденды и купоны,https://bcs-express.ru/novosti-i-analitika/2024500340-kuda-reinvestirovat-dividendy-i-kupony,Российский рынок,SBER
2024-02-28,13:28,Набсовет Сбера в апреле обсудит вопрос о выплате дивидендов за 2023,https://bcs-express.ru/novosti-i-analitika/nabsovet-sbera-v-aprele-obsudit-vopros-o-vyplate-dividendov-za-2023,Российский рынок,SBER
2024-02-28,10:02,Сбербанк отчитался. Считаем дивиденды,https://bcs-express.ru/novosti-i-analitika/sberbank-otchitalsia-za-iv-kvartal,Российский рынок,SBER
2024-02-28,08:26,Сбербанк. Встречаем отчет на двухлетних максимумах,https://bcs-express.ru/tehanaliz/sber/28.02.24,Теханализ,SBER
2024-02-28,07:33,Прогнозы и комментарии. Задача на февраль и планы на март,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-zadacha-na-fevral-i-plany-na-mart,Российский рынок,SBER
2024-02-27,17:32,Портфели БКС. Внимание на аутсайдеров,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-vnimanie-na-autsaiderov,Российский рынок,SBER
2024-02-27,13:04,Когда Сбер по 300?,https://bcs-express.ru/novosti-i-analitika/kogda-sber-po-300,Мнения,SBER
2024-02-27,10:59,Мнение аналитиков. Что ждать от отчета Сбера по МСФО,https://bcs-express.ru/novosti-i-analitika/mnenie-analitikov-chto-zhdat-ot-otcheta-sbera-po-msfo,Российский рынок,SBER
2024-02-27,09:52,Сбербанк. Уже у максимумов,https://bcs-express.ru/tehanaliz/sber/27.02.24,Теханализ,SBER
2024-02-27,07:37,Отчеты российских компаний: календарь ближайших публикаций,https://bcs-express.ru/novosti-i-analitika/otchety-rossiiskikh-kompanii-kalendar-blizhaishikh-publikatsii,Российский рынок,SBER
2024-02-26,15:21,5 идей в российских акциях. Ждем срабатывания драйверов,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-zhdem-srabatyvaniia-draiverov,Российский рынок,SBER
2024-02-26,12:44,"Ключевые события недели: послание президента РФ, отчетность компаний, ВВП США",https://bcs-express.ru/novosti-i-analitika/kliuchevye-sobytiia-nedeli-poslanie-prezidenta-rf-v-putina-i-vvp-ssha,Российский рынок,SBER
2024-02-26,09:49,Сбербанк. Реализует отскок,https://bcs-express.ru/tehanaliz/sber/26.02.24,Теханализ,SBER
2024-02-26,07:44,Рынок волнуется раз: как защитить свой портфель от негативных событий,https://bcs-express.ru/novosti-i-analitika/rynok-volnuetsia-raz-kak-zashchitit-svoi-portfel-ot-negativnykh-sobytii,Обучение,SBER
2024-02-22,14:20,"Три интересные бумаги на неделю: Мосбиржа, Fix Price, Сбербанк",https://bcs-express.ru/novosti-i-analitika/tri-interesnye-bumagi-na-sleduiushchuiu-nedeliu-mosbirzha-fix-price-sberbank,Российский рынок,SBER
2024-02-22,09:50,Сбербанк. Пробивает двухмесячный восходящий тренд,https://bcs-express.ru/tehanaliz/sber/22.02.24,Теханализ,SBER
2024-02-21,08:43,Сбербанк. Подошли к поддержке двухмесячного тренда,https://bcs-express.ru/tehanaliz/sber/21.02.24,Теханализ,SBER
2024-02-20,16:01,Портфели БКС. Меняем бумаги в двух корзинах,https://bcs-express.ru/novosti-i-analitika/portfeli-bks-meniaem-bumagi-v-dvukh-korzinakh,Российский рынок,SBER
2024-02-20,08:24,Сбербанк. После отката активность резко снизилась,https://bcs-express.ru/tehanaliz/sber/20.02.24,Теханализ,SBER
2024-02-19,15:15,5 идей в российских акциях. Драйверы актуальны,https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-draivery-aktual-ny,Российский рынок,SBER
